,index,endTime,artistName,trackName,msPlayed,counts,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
200,467,2020-07-06 16:22,Panic! At The Disco,High Hopes - Don Diablo Remix,1898,15,6dikOgPUT9KEZUknpDkZjb,0.59,0.887,5.0,-2.851,1.0,0.0763,0.0216,0.0,0.487,0.283,126.093,audio_features,6dikOgPUT9KEZUknpDkZjb,spotify:track:6dikOgPUT9KEZUknpDkZjb,https://api.spotify.com/v1/tracks/6dikOgPUT9KEZUknpDkZjb,https://api.spotify.com/v1/audio-analysis/6dikOgPUT9KEZUknpDkZjb,185714.0,4.0
201,468,2020-07-06 16:22,Kylie Minogue,Wow,1194,12,0Vw1GKe0PjtTfErMBPj8eS,0.677,0.753,9.0,-3.841,1.0,0.0351,0.0846,0.000353,0.0916,0.754,123.968,audio_features,0Vw1GKe0PjtTfErMBPj8eS,spotify:track:0Vw1GKe0PjtTfErMBPj8eS,https://api.spotify.com/v1/tracks/0Vw1GKe0PjtTfErMBPj8eS,https://api.spotify.com/v1/audio-analysis/0Vw1GKe0PjtTfErMBPj8eS,193547.0,4.0
202,469,2020-07-06 16:22,Enrico Sangiuliano,Astral Projection,789,28,32nw9Qc5rYjsPWGLy14Yh5,0.798,0.738,6.0,-8.357,0.0,0.0606,0.0182,0.941,0.11,0.325,124.981,audio_features,32nw9Qc5rYjsPWGLy14Yh5,spotify:track:32nw9Qc5rYjsPWGLy14Yh5,https://api.spotify.com/v1/tracks/32nw9Qc5rYjsPWGLy14Yh5,https://api.spotify.com/v1/audio-analysis/32nw9Qc5rYjsPWGLy14Yh5,483960.0,4.0
203,470,2020-07-06 16:22,Zonderling,No Good,896,67,5o0eUxrcE7B7htlnRRZoWF,0.84,0.855,1.0,-4.421,1.0,0.216,0.523,0.0151,0.111,0.537,126.173,audio_features,5o0eUxrcE7B7htlnRRZoWF,spotify:track:5o0eUxrcE7B7htlnRRZoWF,https://api.spotify.com/v1/tracks/5o0eUxrcE7B7htlnRRZoWF,https://api.spotify.com/v1/audio-analysis/5o0eUxrcE7B7htlnRRZoWF,179048.0,4.0
204,471,2020-07-06 16:24,Zara Larsson,Lush Life,1002,39,1rIKgCH4H52lrvDcz50hS8,0.694,0.712,7.0,-3.923,0.0,0.046,0.132,0.0,0.211,0.799,98.023,audio_features,1rIKgCH4H52lrvDcz50hS8,spotify:track:1rIKgCH4H52lrvDcz50hS8,https://api.spotify.com/v1/tracks/1rIKgCH4H52lrvDcz50hS8,https://api.spotify.com/v1/audio-analysis/1rIKgCH4H52lrvDcz50hS8,201122.0,4.0
205,472,2020-07-06 16:24,Gwen Stefani,Make Me Like You,96490,18,2WIxwn8LZRI7knO1VbwdaE,0.741,0.714,5.0,-4.739,0.0,0.0476,0.0403,1.58e-05,0.127,0.799,118.036,audio_features,2WIxwn8LZRI7knO1VbwdaE,spotify:track:2WIxwn8LZRI7knO1VbwdaE,https://api.spotify.com/v1/tracks/2WIxwn8LZRI7knO1VbwdaE,https://api.spotify.com/v1/audio-analysis/2WIxwn8LZRI7knO1VbwdaE,216947.0,4.0
206,473,2020-07-06 16:24,Avicii,Lonely Together (feat. Rita Ora),853,64,75NhhYjHO43mvZgYtnXgti,0.655,0.666,5.0,-5.309,1.0,0.0612,0.134,2.12e-05,0.0683,0.272,102.977,audio_features,75NhhYjHO43mvZgYtnXgti,spotify:track:75NhhYjHO43mvZgYtnXgti,https://api.spotify.com/v1/tracks/75NhhYjHO43mvZgYtnXgti,https://api.spotify.com/v1/audio-analysis/75NhhYjHO43mvZgYtnXgti,181812.0,4.0
207,474,2020-07-06 16:24,Céline Dion,That's the Way It Is,1023,22,5s4catxeZsaWFnOrvrXZHf,0.634,0.886,9.0,-5.424,1.0,0.0434,0.154,0.0,0.118,0.577,93.04,audio_features,5s4catxeZsaWFnOrvrXZHf,spotify:track:5s4catxeZsaWFnOrvrXZHf,https://api.spotify.com/v1/tracks/5s4catxeZsaWFnOrvrXZHf,https://api.spotify.com/v1/audio-analysis/5s4catxeZsaWFnOrvrXZHf,241373.0,4.0
208,475,2020-07-06 16:24,Jauz,Say Never,981,53,7fjR2x1go8ZChRMu75L1aj,0.75,0.635,3.0,-6.277,0.0,0.0503,0.000943,0.363,0.54,0.617,135.032,audio_features,7fjR2x1go8ZChRMu75L1aj,spotify:track:7fjR2x1go8ZChRMu75L1aj,https://api.spotify.com/v1/tracks/7fjR2x1go8ZChRMu75L1aj,https://api.spotify.com/v1/audio-analysis/7fjR2x1go8ZChRMu75L1aj,241127.0,4.0
209,477,2020-07-06 17:22,Céline Dion,The Power of Love - Radio Edit,938,21,2PFAYhBcNRj1UaluR7ZgUy,0.536,0.523,8.0,-8.885,1.0,0.0306,0.369,0.000525,0.227,0.236,140.059,audio_features,2PFAYhBcNRj1UaluR7ZgUy,spotify:track:2PFAYhBcNRj1UaluR7ZgUy,https://api.spotify.com/v1/tracks/2PFAYhBcNRj1UaluR7ZgUy,https://api.spotify.com/v1/audio-analysis/2PFAYhBcNRj1UaluR7ZgUy,286893.0,4.0
210,478,2020-07-06 17:22,Whitney Houston,Greatest Love of All,3989,26,6yJxCltgtmGxIgKOS6ndnu,0.502,0.305,9.0,-16.011,1.0,0.0339,0.484,3.55e-06,0.117,0.248,131.242,audio_features,6yJxCltgtmGxIgKOS6ndnu,spotify:track:6yJxCltgtmGxIgKOS6ndnu,https://api.spotify.com/v1/tracks/6yJxCltgtmGxIgKOS6ndnu,https://api.spotify.com/v1/audio-analysis/6yJxCltgtmGxIgKOS6ndnu,291400.0,4.0
211,480,2020-07-06 17:22,Mike Cervello,Smack!,831,10,5nNuaJH52oYEycQixcMGgq,0.692,0.867,5.0,-4.286,1.0,0.0593,0.000626,0.341,0.126,0.141,127.923,audio_features,5nNuaJH52oYEycQixcMGgq,spotify:track:5nNuaJH52oYEycQixcMGgq,https://api.spotify.com/v1/tracks/5nNuaJH52oYEycQixcMGgq,https://api.spotify.com/v1/audio-analysis/5nNuaJH52oYEycQixcMGgq,187490.0,4.0
212,481,2020-07-06 17:23,George Ezra,Paradise,64703,18,38zwkK6TtTjIW9tpYBfZ3D,0.642,0.881,11.0,-3.537,1.0,0.0393,0.209,0.0,0.21,0.913,138.03,audio_features,38zwkK6TtTjIW9tpYBfZ3D,spotify:track:38zwkK6TtTjIW9tpYBfZ3D,https://api.spotify.com/v1/tracks/38zwkK6TtTjIW9tpYBfZ3D,https://api.spotify.com/v1/audio-analysis/38zwkK6TtTjIW9tpYBfZ3D,222045.0,4.0
213,482,2020-07-06 17:23,Alex Adair,Make Me Feel Better - Don Diablo & CID Radio Edit,2965,11,1FhncoX3bnVxCK45NmO1SA,0.585,0.954,8.0,-3.327,1.0,0.0394,0.0211,0.00273,0.243,0.413,125.994,audio_features,1FhncoX3bnVxCK45NmO1SA,spotify:track:1FhncoX3bnVxCK45NmO1SA,https://api.spotify.com/v1/tracks/1FhncoX3bnVxCK45NmO1SA,https://api.spotify.com/v1/audio-analysis/1FhncoX3bnVxCK45NmO1SA,202460.0,4.0
214,485,2020-07-06 17:25,Jonas Aden,I Don't Speak French (Adieu),113600,58,0uoAGXa0d4KrOtNHmFdFnb,0.781,0.663,1.0,-4.435,0.0,0.0664,0.0506,0.0011,0.0693,0.653,125.947,audio_features,0uoAGXa0d4KrOtNHmFdFnb,spotify:track:0uoAGXa0d4KrOtNHmFdFnb,https://api.spotify.com/v1/tracks/0uoAGXa0d4KrOtNHmFdFnb,https://api.spotify.com/v1/audio-analysis/0uoAGXa0d4KrOtNHmFdFnb,139187.0,4.0
215,518,2020-07-06 18:53,Wham!,The Edge of Heaven,270800,16,5AhRNIjYPBleR1lfHphcrE,0.493,0.665,9.0,-13.817,0.0,0.0424,0.117,0.0,0.159,0.877,152.644,audio_features,5AhRNIjYPBleR1lfHphcrE,spotify:track:5AhRNIjYPBleR1lfHphcrE,https://api.spotify.com/v1/tracks/5AhRNIjYPBleR1lfHphcrE,https://api.spotify.com/v1/audio-analysis/5AhRNIjYPBleR1lfHphcrE,270800.0,4.0
216,532,2020-07-07 06:40,Gwen Stefani,4 In The Morning,290966,21,64fSdRkaB7ksxI9suUGYmi,0.698,0.826,10.0,-6.261,1.0,0.031,0.2,0.00013,0.114,0.502,92.409,audio_features,64fSdRkaB7ksxI9suUGYmi,spotify:track:64fSdRkaB7ksxI9suUGYmi,https://api.spotify.com/v1/tracks/64fSdRkaB7ksxI9suUGYmi,https://api.spotify.com/v1/audio-analysis/64fSdRkaB7ksxI9suUGYmi,291107.0,4.0
217,535,2020-07-07 06:48,Gwen Stefani,What You Waiting For?,221189,7,7bZsx7Zif6FIhrcZrh0LVm,0.676,0.948,5.0,-2.557,1.0,0.0628,0.0509,8.19e-06,0.384,0.731,136.027,audio_features,7bZsx7Zif6FIhrcZrh0LVm,spotify:track:7bZsx7Zif6FIhrcZrh0LVm,https://api.spotify.com/v1/tracks/7bZsx7Zif6FIhrcZrh0LVm,https://api.spotify.com/v1/audio-analysis/7bZsx7Zif6FIhrcZrh0LVm,221227.0,4.0
218,537,2020-07-07 11:38,Muse,The 2nd Law: Unsustainable,167180,38,21lhern14mW8gwK2oOqMbP,0.221,0.884,9.0,-7.445,0.0,0.246,0.0231,0.224,0.0804,0.0638,86.735,audio_features,21lhern14mW8gwK2oOqMbP,spotify:track:21lhern14mW8gwK2oOqMbP,https://api.spotify.com/v1/tracks/21lhern14mW8gwK2oOqMbP,https://api.spotify.com/v1/audio-analysis/21lhern14mW8gwK2oOqMbP,228067.0,3.0
219,548,2020-07-07 12:21,Dr. Fresch,Revelation,650,6,0qDjX7TBrskshXMnnZWF7D,0.77,0.949,9.0,-1.331,1.0,0.0753,0.00317,0.901,0.0732,0.17,126.009,audio_features,0qDjX7TBrskshXMnnZWF7D,spotify:track:0qDjX7TBrskshXMnnZWF7D,https://api.spotify.com/v1/tracks/0qDjX7TBrskshXMnnZWF7D,https://api.spotify.com/v1/audio-analysis/0qDjX7TBrskshXMnnZWF7D,260952.0,4.0
220,549,2020-07-07 12:21,Dropgun,Uluwatu,1532,6,7yYLIIScUpH76gDKUyFahn,0.307,0.946,6.0,-1.826,0.0,0.07,0.00159,0.608,0.0842,0.0943,139.877,audio_features,7yYLIIScUpH76gDKUyFahn,spotify:track:7yYLIIScUpH76gDKUyFahn,https://api.spotify.com/v1/tracks/7yYLIIScUpH76gDKUyFahn,https://api.spotify.com/v1/audio-analysis/7yYLIIScUpH76gDKUyFahn,157447.0,4.0
221,551,2020-07-07 12:21,MADDOW,No Way,952,9,51wriDDT0hY7DUKGk8Pu7R,0.833,0.927,8.0,-5.276,0.0,0.15,0.0431,0.812,0.27,0.31,126.038,audio_features,51wriDDT0hY7DUKGk8Pu7R,spotify:track:51wriDDT0hY7DUKGk8Pu7R,https://api.spotify.com/v1/tracks/51wriDDT0hY7DUKGk8Pu7R,https://api.spotify.com/v1/audio-analysis/51wriDDT0hY7DUKGk8Pu7R,142857.0,4.0
